Date,stepstone,indeed,jobbörse,arbeitsamt,bewerbung
2017-07-30,64.01204819277109,87.0,50.59550561797752,42.43478260869565,63.0
2017-08-06,61.51807228915663,95.52941176470588,49.70786516853932,37.565217391304344,61.11940298507463
2017-08-13,66.50602409638554,90.41176470588235,51.483146067415724,37.565217391304344,61.11940298507463
2017-08-20,65.67469879518072,95.52941176470588,53.258426966292134,38.95652173913044,59.23880597014926
2017-08-27,62.34939759036145,90.41176470588235,55.03370786516854,45.91304347826087,60.17910447761194
2017-09-03,64.8433734939759,88.70588235294117,55.03370786516854,43.826086956521735,59.23880597014926
2017-09-10,64.8433734939759,92.11764705882352,54.146067415730336,38.95652173913044,61.11940298507463
2017-09-17,61.51807228915663,105.76470588235294,51.483146067415724,44.52173913043478,62.059701492537314
2017-09-24,63.18072289156627,112.58823529411764,50.59550561797752,43.130434782608695,59.23880597014926
2017-10-01,57.36144578313253,95.52941176470588,46.157303370786515,36.17391304347826,54.53731343283582
2017-10-08,68.16867469879519,102.35294117647058,50.59550561797752,36.869565217391305,61.11940298507463
2017-10-15,64.8433734939759,105.76470588235294,54.146067415730336,38.95652173913044,58.29850746268657
2017-10-22,62.34939759036145,100.6470588235294,51.483146067415724,38.26086956521739,55.47761194029851
2017-10-29,52.373493975903614,92.11764705882352,43.49438202247191,31.304347826086957,47.95522388059702
2017-11-05,62.34939759036145,102.35294117647058,52.37078651685393,32.69565217391304,60.17910447761194
2017-11-12,62.34939759036145,109.17647058823529,50.59550561797752,35.47826086956522,56.417910447761194
2017-11-19,59.855421686746986,97.23529411764706,51.483146067415724,35.47826086956522,56.417910447761194
2017-11-26,56.53012048192771,90.41176470588235,47.04494382022472,36.869565217391305,52.65671641791045
2017-12-03,59.02409638554217,90.41176470588235,47.04494382022472,36.17391304347826,50.776119402985074
2017-12-10,54.036144578313255,85.29411764705883,43.49438202247191,32.69565217391304,49.83582089552239
2017-12-17,48.21686746987952,78.47058823529412,38.168539325842694,34.08695652173913,40.43283582089553
2017-12-24,34.91566265060241,68.23529411764706,30.179775280898873,25.73913043478261,29.149253731343286
2017-12-31,54.867469879518076,98.94117647058823,47.93258426966292,34.78260869565217,50.776119402985074
2018-01-07,69.83132530120481,107.47058823529412,56.80898876404494,43.130434782608695,70.5223880597015
2018-01-14,70.66265060240964,105.76470588235294,56.80898876404494,41.04347826086956,65.82089552238806
2018-01-21,64.8433734939759,100.6470588235294,56.80898876404494,42.43478260869565,64.88059701492537
2018-01-28,66.50602409638554,104.05882352941175,61.24719101123595,42.43478260869565,66.76119402985076
2018-02-04,66.50602409638554,98.94117647058823,55.03370786516854,38.95652173913044,66.76119402985076
2018-02-11,69.0,95.52941176470588,54.146067415730336,37.565217391304344,59.23880597014926
2018-02-18,71.49397590361446,104.05882352941175,56.80898876404494,41.04347826086956,63.94029850746269
2018-02-25,71.49397590361446,104.05882352941175,56.80898876404494,43.826086956521735,62.059701492537314
2018-03-04,70.66265060240964,98.94117647058823,56.80898876404494,37.565217391304344,59.23880597014926
2018-03-11,69.83132530120481,102.35294117647058,59.471910112359545,39.65217391304348,58.29850746268657
2018-03-18,73.98795180722891,100.6470588235294,55.03370786516854,37.565217391304344,57.35820895522389
2018-03-25,59.02409638554217,81.88235294117646,43.49438202247191,33.391304347826086,49.83582089552239
2018-04-01,58.19277108433735,88.70588235294117,44.38202247191011,32.69565217391304,47.95522388059702
2018-04-08,65.67469879518072,93.8235294117647,51.483146067415724,35.47826086956522,54.53731343283582
2018-04-15,64.8433734939759,100.6470588235294,51.483146067415724,34.08695652173913,53.59701492537314
2018-04-22,73.1566265060241,98.94117647058823,52.37078651685393,40.34782608695652,55.47761194029851
2018-04-29,64.01204819277109,81.88235294117646,41.7191011235955,33.391304347826086,51.71641791044777
2018-05-06,58.19277108433735,81.88235294117646,39.9438202247191,29.913043478260867,45.13432835820896
2018-05-13,64.8433734939759,88.70588235294117,47.93258426966292,33.391304347826086,54.53731343283582
2018-05-20,62.34939759036145,92.11764705882352,40.8314606741573,31.304347826086957,51.71641791044777
2018-05-27,58.19277108433735,80.17647058823529,40.8314606741573,33.391304347826086,52.65671641791045
2018-06-03,66.50602409638554,90.41176470588235,48.82022471910112,36.17391304347826,55.47761194029851
2018-06-10,62.34939759036145,88.70588235294117,47.93258426966292,36.869565217391305,61.11940298507463
2018-06-17,60.68674698795181,90.41176470588235,45.26966292134831,34.78260869565217,59.23880597014926
2018-06-24,64.01204819277109,88.70588235294117,46.157303370786515,38.95652173913044,58.29850746268657
2018-07-01,64.01204819277109,87.0,45.26966292134831,36.17391304347826,64.88059701492537
2018-07-08,66.50602409638554,95.52941176470588,46.157303370786515,34.08695652173913,75.22388059701493
2018-07-15,61.51807228915663,92.11764705882352,43.49438202247191,34.78260869565217,55.47761194029851
2018-07-22,59.02409638554217,85.29411764705883,41.7191011235955,33.391304347826086,49.83582089552239
2018-07-29,62.34939759036145,87.0,42.6067415730337,34.08695652173913,54.53731343283582
2018-08-05,63.18072289156627,83.58823529411764,44.38202247191011,32.0,55.47761194029851
2018-08-12,64.01204819277109,90.41176470588235,44.38202247191011,32.69565217391304,57.35820895522389
2018-08-19,60.68674698795181,92.11764705882352,46.157303370786515,34.08695652173913,57.35820895522389
2018-08-26,61.51807228915663,90.41176470588235,46.157303370786515,36.17391304347826,57.35820895522389
2018-09-02,59.855421686746986,87.0,47.04494382022472,32.69565217391304,56.417910447761194
2018-09-09,61.51807228915663,93.8235294117647,44.38202247191011,34.78260869565217,58.29850746268657
2018-09-16,63.18072289156627,97.23529411764706,44.38202247191011,34.08695652173913,58.29850746268657
2018-09-23,60.68674698795181,93.8235294117647,44.38202247191011,34.08695652173913,59.23880597014926
2018-09-30,57.36144578313253,83.58823529411764,39.9438202247191,30.608695652173914,52.65671641791045
2018-10-07,61.51807228915663,93.8235294117647,43.49438202247191,36.17391304347826,55.47761194029851
2018-10-14,65.67469879518072,112.58823529411764,44.38202247191011,33.391304347826086,54.53731343283582
2018-10-21,61.51807228915663,138.17647058823528,44.38202247191011,32.0,54.53731343283582
2018-10-28,51.54216867469879,127.94117647058823,37.28089887640449,29.913043478260867,47.95522388059702
2018-11-04,62.34939759036145,143.2941176470588,43.49438202247191,35.47826086956522,53.59701492537314
2018-11-11,60.68674698795181,141.58823529411765,43.49438202247191,34.08695652173913,54.53731343283582
2018-11-18,57.36144578313253,127.94117647058823,38.168539325842694,33.391304347826086,49.83582089552239
2018-11-25,58.19277108433735,122.8235294117647,40.8314606741573,35.47826086956522,47.01492537313433
2018-12-02,55.69879518072289,126.23529411764706,38.168539325842694,32.0,47.95522388059702
2018-12-09,51.54216867469879,104.05882352941175,37.28089887640449,32.0,45.13432835820896
