,stepstone_W12,indeed_W12,jobbörse_W12,arbeitsamt_W12,bewerbung_W12,stepstone_W34prev,indeed_W34prev,jobbörse_W34prev,arbeitsamt_W34prev,bewerbung_W34prev,Unemp,month
2015-05-31,69.5,81.5,68.0,39.5,62.0,72.5,80.5,72.0,49.5,61.0,6.3,5
2015-06-30,76.0,83.0,76.5,44.5,71.5,71.33333333333333,81.33333333333333,71.33333333333333,41.0,66.66666666666667,6.2,6
2015-07-31,74.0,84.0,75.5,46.0,90.5,72.5,81.0,69.5,46.0,80.5,6.3,7
2015-08-31,67.5,83.5,69.5,52.0,65.5,77.0,84.0,71.0,60.0,67.5,6.4,8
2015-09-30,71.0,84.0,79.5,47.5,70.0,72.66666666666667,81.33333333333333,75.66666666666667,56.0,69.0,6.2,9
2015-10-31,73.0,90.0,79.5,40.5,66.0,71.0,85.5,79.5,45.5,69.5,6.0,10
2015-11-30,70.0,92.0,81.5,42.5,64.0,68.5,88.0,77.0,41.0,66.0,6.0,11
2015-12-31,62.34939759036145,83.58823529411764,61.24719101123595,39.65217391304348,56.417910447761194,66.0,84.33333333333333,67.66666666666667,40.333333333333336,61.0,6.1,12
2016-01-31,70.24698795180723,77.61764705882352,53.70224719101124,44.8695652173913,71.46268656716418,49.602409638554214,60.27450980392157,43.4943820224719,31.304347826086957,38.23880597014926,6.7,1
2016-02-29,70.66265060240964,83.58823529411764,55.03370786516854,43.826086956521735,68.64179104477611,69.0,85.86274509803921,54.7378277153558,47.07246376811594,69.26865671641792,6.6,2
2016-03-31,67.33734939759037,80.17647058823529,55.92134831460674,48.69565217391305,64.41044776119404,65.67469879518072,85.29411764705881,55.47752808988764,52.8695652173913,70.99253731343285,6.5,3
2016-04-30,58.19277108433735,75.91176470588235,56.365168539325836,40.69565217391305,63.0,56.53012048192771,77.61764705882354,50.151685393258425,38.95652173913044,56.417910447761194,6.3,4
2016-05-31,50.29518072289157,73.35294117647058,44.382022471910105,36.52173913043478,60.17910447761194,58.60843373493976,75.05882352941177,50.151685393258425,41.73913043478261,64.41044776119404,6.0,5
2016-06-30,50.295180722891565,72.5,44.38202247191011,37.21739130434783,63.0,50.98795180722892,72.7843137254902,45.86142322097378,38.4927536231884,63.0,5.9,6
2016-07-31,49.87951807228916,71.6470588235294,44.82584269662921,43.826086956521735,78.51492537313433,47.8012048192771,75.05882352941177,44.82584269662921,42.78260869565217,66.76119402985074,6.0,7
2016-08-31,49.87951807228916,76.76470588235294,48.82022471910112,39.65217391304348,62.059701492537314,49.87951807228916,72.7843137254902,46.74906367041198,45.91304347826087,60.49253731343284,6.1,8
2016-09-30,52.78915662650603,77.61764705882354,44.82584269662921,40.347826086956516,67.23134328358209,50.71084337349398,84.72549019607841,47.04494382022472,41.7391304347826,63.94029850746269,5.9,9
2016-10-31,50.295180722891565,76.76470588235294,39.9438202247191,38.95652173913044,57.35820895522389,51.9578313253012,79.3235294117647,43.050561797752806,42.78260869565217,64.88059701492537,5.8,10
2016-11-30,52.78915662650603,87.0,42.1629213483146,43.13043478260869,56.4179104477612,52.09638554216867,82.45098039215686,41.12734082397003,40.11594202898551,57.67164179104478,5.7,11
2016-12-31,47.80120481927711,70.79411764705881,39.9438202247191,41.73913043478261,54.06716417910448,51.5421686746988,75.05882352941177,40.387640449438194,43.826086956521735,52.656716417910445,5.8,12
2017-01-31,56.1144578313253,80.17647058823529,53.258426966292134,42.78260869565217,66.2910447761194,34.915662650602414,56.294117647058826,30.179775280898873,31.652173913043477,36.67164179104478,6.3,1
2017-02-28,59.43975903614458,86.1470588235294,48.82022471910112,42.086956521739125,72.87313432835822,57.638554216867476,85.29411764705883,50.59550561797752,47.07246376811594,71.1492537313433,6.3,2
2017-03-31,58.60843373493976,88.70588235294117,43.938202247191015,39.30434782608695,61.11940298507463,56.114457831325296,86.1470588235294,44.82584269662921,44.8695652173913,65.35074626865672,6.0,3
2017-04-30,52.78915662650603,81.02941176470588,38.61235955056179,37.565217391304344,52.18656716417911,60.68674698795181,91.26470588235293,43.49438202247191,41.04347826086956,56.88805970149254,5.8,4
2017-05-31,54.036144578313255,85.29411764705883,43.050561797752806,44.52173913043478,60.649253731343286,52.65060240963856,77.33333333333333,38.76029962546816,37.333333333333336,52.343283582089555,5.6,5
