series,transform,reg,adf_stat,pvalue,used_lag,nobs_eff,nobs_raw,crit_1pct,crit_5pct,crit_10pct,reject_1pct,reject_5pct,reject_10pct
indeed_W34prev,level,c,-1.830257481911159,0.36554649956519025,13,126,140,-3.4833462346078936,-2.8847655969877666,-2.5791564575459813,False,False,False
indeed_W34prev,level,ct,-2.00567086242555,0.5983411939219211,13,126,140,-4.032477692253856,-3.4459262881778225,-3.1478290513383484,False,False,False
indeed_W34prev,diff1,n,-2.2669807309687884,0.022499422809820844,12,126,139,-2.583712902494331,-1.9433280926185879,-1.6148703337372574,False,True,True
indeed_W34prev,diff1,c,-2.503513183595104,0.1146218676484857,12,126,139,-3.4833462346078936,-2.8847655969877666,-2.5791564575459813,False,False,False
indeed_W34prev,diff1,ct,-2.762880434833214,0.21091174935269186,12,126,139,-4.032477692253856,-3.4459262881778225,-3.1478290513383484,False,False,False
jobbörse_W34prev,level,n,-1.715232654619048,0.08179311384585963,12,127,140,-2.5835695988591976,-1.9433083482922873,-1.6148845473038977,False,False,True
jobbörse_W34prev,level,c,-0.19945458506895855,0.9385865982160226,12,127,140,-3.482920063655088,-2.884580323367261,-2.5790575441750883,False,False,False
jobbörse_W34prev,level,ct,-3.0424541561166603,0.12059581627008792,12,127,140,-4.031882284616695,-3.44564246299154,-3.147663331295954,False,False,False
jobbörse_W34prev,diff1,n,-2.993630283933356,0.0027188474046440196,11,127,139,-2.5835695988591976,-1.9433083482922873,-1.6148845473038977,True,True,True
jobbörse_W34prev,diff1,c,-3.5184839163382398,0.0075248851738318814,11,127,139,-3.482920063655088,-2.884580323367261,-2.5790575441750883,True,True,True
jobbörse_W34prev,diff1,ct,-3.5403288271342577,0.03526954944279044,11,127,139,-4.031882284616695,-3.44564246299154,-3.147663331295954,False,True,True
arbeitsamt_W34prev,level,n,-2.2755490329804346,0.022004436292341837,13,126,140,-2.583712902494331,-1.9433280926185879,-1.6148703337372574,False,True,True
arbeitsamt_W34prev,level,c,-0.8583476968176017,0.801379599184846,13,126,140,-3.4833462346078936,-2.8847655969877666,-2.5791564575459813,False,False,False
arbeitsamt_W34prev,level,ct,-2.3104728147092026,0.42816598888116664,13,126,140,-4.032477692253856,-3.4459262881778225,-3.1478290513383484,False,False,False
arbeitsamt_W34prev,diff1,n,-3.622177375638966,0.00030992322560484474,12,126,139,-2.583712902494331,-1.9433280926185879,-1.6148703337372574,True,True,True
arbeitsamt_W34prev,diff1,c,-4.222609188465947,0.0006031808545457858,12,126,139,-3.4833462346078936,-2.8847655969877666,-2.5791564575459813,True,True,True
arbeitsamt_W34prev,diff1,ct,-4.206171826405538,0.004381827222065232,12,126,139,-4.032477692253856,-3.4459262881778225,-3.1478290513383484,True,True,True
bewerbung_W34prev,level,n,-3.2062167876396117,0.0013490034630287524,12,127,140,-2.5835695988591976,-1.9433083482922873,-1.6148845473038977,True,True,True
bewerbung_W34prev,level,c,1.0137487556840858,0.9944089163791335,12,127,140,-3.482920063655088,-2.884580323367261,-2.5790575441750883,False,False,False
bewerbung_W34prev,level,ct,-1.9436875896620187,0.6317416569749413,12,127,140,-4.031882284616695,-3.44564246299154,-3.147663331295954,False,False,False
bewerbung_W34prev,diff1,n,-5.121700253386275,6.086166950277992e-07,11,127,139,-2.5835695988591976,-1.9433083482922873,-1.6148845473038977,True,True,True
bewerbung_W34prev,diff1,c,-6.414989368103634,1.850736440976075e-08,11,127,139,-3.482920063655088,-2.884580323367261,-2.5790575441750883,True,True,True
bewerbung_W34prev,diff1,ct,-6.654798590170955,8.398633395687103e-08,11,127,139,-4.031882284616695,-3.44564246299154,-3.147663331295954,True,True,True
Unemp,level,n,-0.6776052167623864,0.42204270329680194,13,126,140,-2.583712902494331,-1.9433280926185879,-1.6148703337372574,False,False,False
Unemp,level,c,-1.789028664113816,0.38592210067628885,13,126,140,-3.4833462346078936,-2.8847655969877666,-2.5791564575459813,False,False,False
Unemp,level,ct,-2.7441391774019044,0.21821629565638995,13,126,140,-4.032477692253856,-3.4459262881778225,-3.1478290513383484,False,False,False
Unemp,diff1,n,-2.816960798915208,0.004735471743818954,13,125,139,-2.583858528,-1.9433481738240002,-1.6148559096319999,True,True,True
Unemp,diff1,c,-2.879761221850671,0.04775261818165579,13,125,139,-3.4837793736959997,-2.88495387648,-2.579256976,False,False,True
Unemp,diff1,ct,-2.8828209961800546,0.16818781921230036,13,125,139,-4.03308287936,-3.4462147354879997,-3.14799745856,False,False,False
month,level,n,0.35941919664030414,0.7905858309849833,12,127,140,-2.5835695988591976,-1.9433083482922873,-1.6148845473038977,False,False,False
month,level,c,-156127917068676.34,0.0,12,127,140,-3.482920063655088,-2.884580323367261,-2.5790575441750883,True,True,True
month,level,ct,-37526109634227.38,0.0,13,126,140,-4.032477692253856,-3.4459262881778225,-3.1478290513383484,True,True,True
month,diff1,n,-4782083837770339.0,0.0,12,126,139,-2.583712902494331,-1.9433280926185879,-1.6148703337372574,True,True,True
month,diff1,c,-3007595308817986.5,0.0,12,126,139,-3.4833462346078936,-2.8847655969877666,-2.5791564575459813,True,True,True
month,diff1,ct,-23853165010225.402,0.0,12,126,139,-4.032477692253856,-3.4459262881778225,-3.1478290513383484,True,True,True
